"","IDs","nTrial","Conds","Sat","Tdata.perc","Tdata.duration"
"572","AJ",5,"R_H",0.9,3,1512096
"573","AJ",5,"R_H",0.9,0,55984
"574","AJ",5,"R_H",0.9,2,2088112
"575","AJ",5,"R_H",0.9,0,480000
"576","AJ",5,"R_H",0.9,3,1512096
"577","AJ",5,"R_H",0.9,0,175984
"578","AJ",5,"R_H",0.9,2,1400064
"579","AJ",5,"R_H",0.9,0,328000
"580","AJ",5,"R_H",0.9,1,2232144
"581","AJ",5,"R_H",0.9,0,247968
"582","AJ",5,"R_H",0.9,2,1392080
"583","AJ",5,"R_H",0.9,0,191984
"584","AJ",5,"R_H",0.9,3,768000
"585","AJ",5,"R_H",0.9,0,192000
"586","AJ",5,"R_H",0.9,2,2680160
"587","AJ",5,"R_H",0.9,0,279984
"588","AJ",5,"R_H",0.9,1,3320240
"589","AJ",5,"R_H",0.9,0,632000
